name,address,arrondissement,code_insee,annee_scolaire,type,lat,lng
ANDRE MALRAUX,5 bis RUE SAINT-FERDINAND,17ème Ardt,75117,2026-2027,Collège,48.87881043889032,2.290514944291562
BEAUMARCHAIS,124 RUE AMELOT,11ème Ardt,75111,2026-2027,Collège,48.864231545646064,2.3669059641720596
MOULIN DES PRES,18 RUE DU MOULIN DES PRES,13ème Ardt,75113,2026-2027,Collège,48.82878642051567,2.3527133607661415
GEORGES DUHAMEL,13 RUE DES VOLONTAIRES,15ème Ardt,75115,2026-2027,Collège,48.84264715695299,2.30723382524095
CLAUDE CHAPPE,9 RUE DES ALOUETTES,19ème Ardt,75119,2026-2027,Collège,48.877493391773086,2.385349731136482
AMEDEO MODIGLIANI,1 RUE DE CHERBOURG,15ème Ardt,75115,2026-2027,Collège,48.83170273369949,2.3047394660611222
GUY FLAVIEN,6 RUE D' ARTAGNAN,12ème Ardt,75112,2026-2027,Collège,48.845408021178045,2.386137299021649
CLICHY (10) ELEM,10 RUE DE CLICHY,9ème Ardt,75109,2026-2027,Elémentaire,48.877726909314475,2.3304673759654397
ST JACQUES (250 B) ELEM - ELIE BUZYN,250 bis RUE SAINT JACQUES,5ème Ardt,75105,2026-2027,Elémentaire,48.84377707722694,2.3416321034164453
FRANCOIS COPPEE (14) ELEM,14 FRANCOIS COPPEE (14) ELEM,15ème Ardt,75115,2026-2027,Elémentaire,48.83987528329247,2.287841502930166
CHARLES BAUDELAIRE (8) ELEM,8 CHARLES BAUDELAIRE (8) ELEM,12ème Ardt,75112,2026-2027,Elémentaire,48.84883039534485,2.3764664925550947
CHERBOURG (15) ELEM,15 CHERBOURG (15) ELEM,15ème Ardt,75115,2026-2027,Elémentaire,48.83106253163441,2.3040995473322767
OURCQ (105 B) ELEM B,105 bis OURCQ (105 B) ELEM B,19ème Ardt,75119,2026-2027,Elémentaire,48.893558392617535,2.3750753793415953
LESSEPS (9) ELEM B,9 LESSEPS (9) ELEM B,20ème Ardt,75120,2026-2027,Elémentaire,48.858711483181985,2.4001687751364003
ALBERTO GIACOMETTI,7 RUE DU CANGE,14ème Ardt,75114,2026-2027,Collège,48.83426455206892,2.31497156179252
JENNER (40) ELEM A,40 JENNER (40) ELEM A,13ème Ardt,75113,2026-2027,Elémentaire,48.83560332890016,2.361854828058952
CAPITAINE LAGACHE (19) ELEM,19 CAPITAINE LAGACHE (19) ELEM,17ème Ardt,75117,2026-2027,Elémentaire,48.892040018011365,2.325594516536988
ALPHONSE DAUDET,93 RUE D' ALESIA,14ème Ardt,75114,2026-2027,Collège,48.82801240851196,2.3259094075851534
ORAN (18) ELEM,18 ORAN (18) ELEM,18ème Ardt,75118,2026-2027,Elémentaire,48.88904593860851,2.353029211880464
GABRIEL FAURE,81 AVENUE DE CHOISY,13ème Ardt,75113,2026-2027,Collège,48.82404489633227,2.3614072621205247
BAUDRICOURT (55) ELEM B,55 BAUDRICOURT (55) ELEM B,13ème Ardt,75113,2026-2027,Elémentaire,48.82577112828068,2.3631352050621324
JENNER (46) ELEM B,46 JENNER (46) ELEM B,13ème Ardt,75113,2026-2027,Elémentaire,48.83603938481635,2.36087574556163
BERCY (165) ELEM,165 BERCY (165) ELEM,12ème Ardt,75112,2026-2027,Elémentaire,48.84252115757894,2.3753979306747715
PAUL GAUGUIN,35 RUE MILTON,9ème Ardt,75109,2026-2027,Collège,48.8792307451151,2.3423452396970905
BERNARD PALISSY,21 RUE DES PETITS HOTELS,10ème Ardt,75110,2026-2027,Collège,48.87746346177602,2.35285899572182
JEAN DE LA FONTAINE,1 PLACE DE LA PORTE MOLITOR,16ème Ardt,75116,2026-2027,Collège,48.845190601685545,2.2565776954864436
ANNE FRANK,38 RUE TROUSSEAU,11ème Ardt,75111,2026-2027,Collège,48.85192514675005,2.379036766249539
GUILLAUME BUDE,7 RUE JEAN QUARRE,19ème Ardt,75119,2026-2027,Collège,48.87683379506429,2.3962860153598617
CAVE (11) ELEM,11 CAVE (11) ELEM,18ème Ardt,75118,2026-2027,Elémentaire,48.886707348741396,2.355167024686983
EUGENIE COTTON (16) ELEM B,16 EUGENIE COTTON (16) ELEM B,19ème Ardt,75119,2026-2027,Elémentaire,48.87874197496205,2.3945249391432957
FRANC NOHAIN (9) ELEM,9 FRANC NOHAIN (9) ELEM,13ème Ardt,75113,2026-2027,Elémentaire,48.821401135417254,2.3751822013075987
GEORGES BRAQUE,91 RUE BRILLAT-SAVARIN,13ème Ardt,75113,2026-2027,Collège,48.82458829124478,2.3428861827644454
LUCIE FAURE,40 RUE DES PYRENEES,20ème Ardt,75120,2026-2027,Collège,48.85090897148368,2.406501323731271
MOZART,7 RUE JOMARD,19ème Ardt,75119,2026-2027,Collège,48.88957595365006,2.379308212552385
PAUL VALERY,38 BOULEVARD SOULT,12ème Ardt,75112,2026-2027,Collège,48.83984209312885,2.4091790646003752
DANIEL MAYER,2 PLACE HEBERT,18ème Ardt,75118,2026-2027,Collège,48.893141293813464,2.363861812299952
ROBERT DOISNEAU,51 RUE DES PANOYAUX,20ème Ardt,75120,2026-2027,Collège,48.86707415481146,2.387974290425766
JEAN PERRIN,6 RUE EUGENE REISZ,20ème Ardt,75120,2026-2027,Collège,48.85685261667771,2.411192015083835
JEAN FRANCOIS OEBEN,23 RUE DE REUILLY,12ème Ardt,75112,2026-2027,Collège,48.84830590580039,2.386162996918993
RAYMOND QUENEAU,66 BOULEVARD SAINT-MARCEL,5ème Ardt,75105,2026-2027,Collège,48.83789635698398,2.3546739157184287
HELENE BOUCHER,75 COURS DE VINCENNES,20ème Ardt,75120,2026-2027,Collège,48.84781843548246,2.4069675330447433
VICTOR HUGO,11 RUE BARBETTE,3ème Ardt,75103,2026-2027,Collège,48.858841087259535,2.360617651550141
CLAUDE DEBUSSY,4 PLACE DU COMMERCE,15ème Ardt,75115,2026-2027,Collège,48.84529147463902,2.2915976475106854
CESAR FRANCK,5 RUE DE LA JUSSIENNE,2ème Ardt,75102,2026-2027,Collège,48.86535583739994,2.3442026798992033
PAUL VERLAINE,167 RUE DE BERCY,12ème Ardt,75112,2026-2027,Collège,48.84260745086261,2.375238551801449
EDGAR VARESE,16 RUE ADOLPHE MILLE,19ème Ardt,75119,2026-2027,Collège,48.88915990325219,2.388586748411057
PIERRE BROSSOLETTE (2) ELEM,2 RUE PIERRE BROSSOLETTE,5ème Ardt,75105,2026-2027,Elémentaire,48.841970799603374,2.3476035919781615
GENERAL LASALLE (1) ELEM,1 GENERAL LASALLE (1) ELEM,19ème Ardt,75119,2026-2027,Elémentaire,48.87425637487898,2.381214745951107
MARE (42) ELEM,42 MARE (42) ELEM,20ème Ardt,75120,2026-2027,Elémentaire,48.87110111953217,2.389964695261338
SORBIER (15) ELEM,15 SORBIER (15) ELEM,20ème Ardt,75120,2026-2027,Elémentaire,48.86643405486063,2.392126579139312
ANDRE CITROEN,208 RUE SAINT-CHARLES,15ème Ardt,75115,2026-2027,Collège,48.838859569842995,2.2785902524445145
STEPHANE MALLARME,29 RUE DE LA JONQUIERE,17ème Ardt,75117,2026-2027,Collège,48.8934820195837,2.32448159826506
EVANGILE (33) ELEM,33 EVANGILE (33) ELEM,18ème Ardt,75118,2026-2027,Elémentaire,48.89406873070228,2.3651224005960807
MARSOULAN (19) ELEM,19 MARSOULAN (19) ELEM,12ème Ardt,75112,2026-2027,Elémentaire,48.84639431441528,2.4031566848379704
PICPUS (56) ELEM B,56 PICPUS (56) ELEM B,12ème Ardt,75112,2026-2027,Elémentaire,48.84359141551742,2.396622583993179
DAMESME (5) ELEM,5 DAMESME (5) ELEM,13ème Ardt,75113,2026-2027,Elémentaire,48.825097701173775,2.355436266356012
LUCIE ET RAYMOND AUBRAC,62 RUE DE LA FONTAINE AU ROI,11ème Ardt,75111,2026-2027,Collège,48.86823413928675,2.374321375328781
CHARLES PEGUY,69 AVENUE SIMON BOLIVAR,19ème Ardt,75119,2026-2027,Collège,48.87628979019915,2.3765366364279124
ALAIN FOURNIER (5) ELEM,5 ALAIN FOURNIER (5) ELEM,14ème Ardt,75114,2026-2027,Elémentaire,48.828324298488255,2.307674934788748
EUGENE VARLIN (10) ELEM,10 EUGENE VARLIN (10) ELEM,10ème Ardt,75110,2026-2027,Elémentaire,48.87833744574122,2.3647740287957335
LA FONTAINE (41 B) ELEM,41 bis LA FONTAINE (41 B) ELEM,16ème Ardt,75116,2026-2027,Elémentaire,48.85017170540044,2.2703807160167
MARYSE HILSZ (20) ELEM,20 MARYSE HILSZ (20) ELEM,20ème Ardt,75120,2026-2027,Elémentaire,48.850756462767364,2.4128899141500915
JOUFFROY (20) ELEM,20 JOUFFROY (20) ELEM,17ème Ardt,75117,2026-2027,Elémentaire,48.886500433015385,2.310896770755844
ROGNONI,24 RUE DU CARDINAL LEMOINE,5ème Ardt,75105,2026-2027,Collège,48.84827305751572,2.3532818415788683
CAMILLE CLAUDEL,4 bis AVENUE DE CHOISY,13ème Ardt,75113,2026-2027,Collège,48.82064046139026,2.3648627277329224
JEAN MOULIN,75 RUE D' ALESIA,14ème Ardt,75114,2026-2027,Collège,48.827730325591624,2.3283199536449017
