Trimestre;arrondissement;prix_m2
T2 2023;3;12590
T1 2023;3;12750
T4 2022;3;13120
T3 2022;3;12860
T2 2022;3;12600
T1 2022;3;12630
T4 2021;3;12900
T3 2021;3;13150
T2 2021;3;12980
T1 2021;3;12730
T4 2020;3;12940
T3 2020;3;12990
T2 2020;3;13260
T1 2020;3;12870
T4 2019;3;12790
T3 2019;3;12700
T2 2019;3;12480
T1 2019;3;11820
T4 2018;3;12250
T3 2018;3;11300
T2 2018;3;11150
T1 2018;3;11020
T4 2017;3;11170
T3 2017;3;11020
T2 2017;3;10310
T1 2017;3;10490
T4 2016;3;10260
T3 2016;3;9740
T2 2016;3;9960
T1 2016;3;9610
T4 2015;3;9550
T3 2015;3;9820
T2 2015;3;9670
T1 2015;3;9690
T4 2014;3;9620
T3 2014;3;9850
T2 2014;3;9830
T1 2014;3;9960
T4 2013;3;9720
T3 2013;3;10220
T2 2013;3;10200
T1 2013;3;10340
T4 2012;3;10320
T3 2012;3;10540
T2 2012;3;10170
T1 2012;3;10040
T4 2011;3;10320
T3 2011;3;10030
T2 2011;3;9560
T1 2011;3;9590
T4 2010;3;8440
T3 2010;3;8480
T2 2010;3;8020
T1 2010;3;7620
T4 2009;3;7450
T3 2009;3;7490
T2 2009;3;6830
T1 2009;3;7620
T4 2008;3;7620
T3 2008;3;8140
T2 2008;3;7950
T1 2008;3;7850
T4 2007;3;7820
T3 2007;3;7590
T2 2007;3;7320
T1 2007;3;7420
T4 2006;3;6750
T3 2006;3;6900
T2 2006;3;6520
T1 2006;3;6220
T4 2005;3;6170
T3 2005;3;5980
T2 2005;3;5790
T1 2005;3;5750
T4 2004;3;5380
T3 2004;3;5340
T2 2004;3;4960
T1 2004;3;4830
T4 2003;3;4810
T3 2003;3;4550
T2 2003;3;4250
T1 2003;3;3830
T4 2002;3;3970
T3 2002;3;3950
T2 2002;3;3730
T1 2002;3;3650
T4 2001;3;3610
T3 2001;3;3560
T2 2001;3;3600
T1 2001;3;3460
T4 2000;3;3290
T3 2000;3;3430
T2 2000;3;3340
T1 2000;3;3100
T4 1999;3;3040
T3 1999;3;2840
T2 1999;3;2680
T1 1999;3;2690
T4 1998;3;2520
T3 1998;3;2530
T2 1998;3;2620
T1 1998;3;2490
T4 1997;3;2510
T3 1997;3;2600
T2 1997;3;2640
T1 1997;3;2480
T4 1996;3;2510
T3 1996;3;2570
T2 1996;3;2430
T1 1996;3;2630
T4 1995;3;2670
T4 2025;4;13020
T3 2025;4;12750
T2 2025;4;12680
T1 2025;4;13030
