X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
654277.557599999,6864233.9678,5841,78316,19,76,654285.46723299,6864235.16684379,66,,AV,SIMON BOLIVAR,3,R,C,SA305,SECURIER,0,1,0,,10803,108,4,1
655101.0889,6863917.306,5842,78380,20,77,655101.0889,6863917.306,385,,RUE,PYRENEES,1,A,C,SA505,AMEN,0,1,0,,10805,108,4,1
654350.790200002,6863752.1854,5843,78528,20,77,654350.7902,6863752.1854,6,,RUE,BELLEVILLE,1,R,C,CA302,SITIS,0,1,0,,10202,102,2,1
654475.6642,6863542.2183,5844,78554,20,77,654478.24549761,6863539.16266543,90,,BD,BELLEVILLE,2,R,C,CH106,NONNA TRIPLETA,0,1,0,,11101,111,5,1
655427.704499997,6863663.9309,5846,78857,20,77,655427.7045,6863663.9309,339,,RUE,PYRENEES,1,R,C,CA109,DES PYRENEES,0,1,0,,10201,102,2,1
655241.437700003,6863810.7881,5847,78864,20,77,655244.03655318,6863807.74738262,82,,RUE,CASCADES,2,R,C,CH403,LES CASCADES,0,1,0,,11104,111,5,1
655068.703699999,6864016.3892,5848,78922,20,77,655060.72299325,6864015.83393456,112,,RUE,BELLEVILLE,3,R,C,CA101,DIMITRIS,0,1,0,,10201,102,2,1
655210.361599997,6863957.8032,5850,78969,20,77,655210.04497971,6863961.79064926,3,,RUE,JOURDAIN,2,R,C,CH108,SAMSARA,0,1,0,,11101,111,5,1
655654.848200001,6863575.3544,5852,79250,20,78,655654.8482,6863575.3544,10,,RUE,PIXERECOURT,1,A,C,CH201,LA HAUT,0,1,0,,11102,111,5,1
656313.935000002,6863740.1054,5854,79423,20,78,656313.935,6863740.1054,185,,AV,GAMBETTA,1,A,C,CH201,LA CHOPE SAINT FARGEAU,0,1,0,,11102,111,5,1
656321.546300001,6863768.2272,5855,79426,20,78,656322.55795509,6863772.09715529,189,,AV,GAMBETTA,2,R,C,CE103,PRESSE,0,1,0,,10601,106,3,1
655998.535899997,6862633.2689,5856,79919,20,79,655998.5359,6862633.2689,180,B,RUE,PYRENEES,1,R,C,CA302,NATURALIA,1,1,0,,10202,102,2,1
656039.390900001,6863241.6262,5857,80004,20,79,656043.35941994,6863248.57248314,117,,AV,GAMBETTA,3,R,C,SB101,20EME APPART,0,1,0,,10901,109,4,1
656059.576300003,6863276.2907,5858,80010,20,79,656059.5763,6863276.2907,123,,AV,GAMBETTA,1,R,C,CA109,AUX DELICES CACHER,0,1,0,,10201,102,2,1
655955.593699999,6863151.705,5859,80028,20,79,655955.5937,6863151.705,8,,RUE,CHINE,1,R,C,CB205,IRIS ABSINTHE,0,1,0,,10302,103,3,1
656046.639799997,6863305.6307,5860,80049,20,79,656046.6398,6863305.6307,103,,RUE,ORFILA,1,R,C,CH103,SUN II,0,1,0,,11101,111,5,1
656068.425899997,6863331.9657,5861,80055,20,79,656066.43315975,6863335.4339829,71,,RUE,PELLEPORT,2,R,C,CB111,PK SPORT,0,1,0,,10301,103,3,1
655703.732299998,6863287.404,5862,80140,20,79,655705.57495787,6863283.85370255,242,B,RUE,PYRENEES,2,R,C,CA109,LE LANN,0,1,0,,10201,102,2,1
655947.749499999,6863096.4345,5863,80174,20,79,655951.08927573,6863098.63584006,41,,RUE,GATINES,2,A,C,CH201,LA CHANTEFABLE,0,1,0,,11102,111,5,1
655808.425099999,6863080.4507,5864,80205,20,79,655808.4251,6863080.4507,218,B,RUE,PYRENEES,1,R,C,CA102,TRAITEUR CHINOIS,0,1,0,,10201,102,2,1
655744.353600003,6863158.5309,5865,80396,20,79,655742.50970269,6863162.08055388,261,,RUE,PYRENEES,2,R,C,SA201,GOLD COIFFURE,0,1,0,,10802,108,4,1
