code_iris,LIBIRIS,GRD_QUART,LIBCOM,population,school_count,schools_per_1000,school_score
751124624,Picpus 24,7511246.0,Paris 12e Arrondissement,1878.09579196675,22.0,11.71399248861609,70.28647161140977
751134905,Salpêtrière 5,7511349.0,Paris 13e Arrondissement,2613.10024794315,12.0,4.592246320991919,27.554464542014767
751010199,,,,,3.0,,
751072809,Gros Caillou 9,7510728.0,Paris 7e Arrondissement,1416.36274001499,4.0,2.8241352917527793,16.94541849872853
751155726,Saint-Lambert 26,7511557.0,Paris 15e Arrondissement,2414.97760971437,17.0,7.039402738814902,42.23792880555681
751155914,Grenelle 14,7511559.0,Paris 15e Arrondissement,1552.64875750271,6.0,3.864364023741234,23.187014377446484
751156004,Javel 4,7511560.0,Paris 15e Arrondissement,3195.95423043398,18.0,5.632120707046475,33.793934269000275
751114401,Sainte-Marguerite 1,7511144.0,Paris 11e Arrondissement,1789.12662723061,10.0,5.589319306861475,33.53711667227096
751114412,Sainte-Marguerite 12,7511144.0,Paris 11e Arrondissement,2699.74616019953,15.0,5.556077908780652,33.33766114207475
751135120,Maison Blanche 20,7511351.0,Paris 13e Arrondissement,1823.27049163744,26.0,14.260089284201577,85.56359939826245
751145506,Petit Montrouge 6,7511455.0,Paris 14e Arrondissement,2324.49134090417,14.0,6.022823038159542,36.138232195687316
751145605,Plaisance 5,7511456.0,Paris 14e Arrondissement,2303.34936334426,17.0,7.380556449898465,44.28492436684856
751176614,Plaine Monceau 14,7511766.0,Paris 17e Arrondissement,2929.01855025672,6.0,2.0484677365645627,12.291246520164357
751187202,Chapelle 2,7511872.0,Paris 18e Arrondissement,1750.0089802461,23.0,13.142789699722316,78.85956184639791
751103988,,,,,23.0,,
751041504,Arsenal 4,7510415.0,Paris 4e Arrondissement,1711.39328740106,11.0,6.4275114790853936,38.56644978608129
751135119,Maison Blanche 19,7511351.0,Paris 13e Arrondissement,1494.33165653427,23.0,15.39149619124229,92.35228391636777
751145623,Plaisance 23,7511456.0,Paris 14e Arrondissement,2914.44049588114,15.0,5.14678547089875,30.881818580803856
751176601,Plaine Monceau 1,7511766.0,Paris 17e Arrondissement,1958.00201126549,6.0,3.064348231247269,18.386747743977807
751197514,Amérique 14,7511975.0,Paris 19e Arrondissement,2710.83559113064,30.0,11.066698437247368,66.40256823602549
751207914,Père Lachaise 14,7512079.0,Paris 20e Arrondissement,2029.27235918325,21.0,10.34853695462159,62.09344504766426
751030901,Arts et Métiers 1,7510309.0,Paris 3e Arrondissement,1580.25594432374,9.0,5.695279952799981,34.17290331289936
